,strategy_nav,hs300_nav,equal_weight_nav
2015-05-29,2452478.0542749055,2084785.3986683802,1665828.1144946236
2015-06-01,2579132.1226250823,2186142.8608342907,1718035.875650558
2015-06-02,2683193.4185493486,2223046.710135319,1746812.3554473151
2015-06-03,2702271.276462703,2215174.1186401295,1750794.9991319976
2015-06-04,2695964.4491210137,2231466.248632636,1752173.0690506906
2015-06-05,2732782.511979144,2252624.914943285,1759727.5428767006
2015-06-08,2684281.2579863165,2305683.0808189595,1758790.588051792
2015-06-09,2682809.6831631083,2290054.1778998994,1755213.6431277385
2015-06-10,2740289.844204807,2286458.1090276437,1770450.6978738175
2015-06-11,2788725.4045761144,2285372.828362005,1777070.3296657284
2015-06-12,2833177.0082196607,2297659.7558979867,1787443.3648004974
2015-06-15,2778859.743910694,2248585.2591322954,1760216.0703195685
2015-06-16,2666108.439531221,2181250.4845003,1725889.4198262063
2015-06-17,2721990.5074438937,2213124.144049478,1749185.7623448165
2015-06-18,2632037.276827748,2123424.835700569,1711922.2571115275
2015-06-19,2454904.3821515613,1997024.0915081126,1646148.434436969
2015-06-22,2454904.3821515613,,1648343.0923674288
2015-06-23,2452940.45864584,2061210.690875894,1648618.4079100683
2015-06-24,2435695.924973377,2101710.6090491773,1664180.7204334221
2015-06-25,2382231.802827584,2026942.5231914178,1624113.5430867823
2015-06-26,2276838.3306312733,1867453.6387049013,1544840.0173533564
2015-06-29,2249478.1167228096,1805161.9738326806,1492529.734433946
2015-06-30,2248169.850181266,1926373.181508888,1545489.2324587395
2015-07-01,2257403.989213523,1831635.070069513,1500598.005747446
2015-07-02,2247926.7586750034,1769179.751763584,1460035.7324625556
2015-07-03,2239243.779778834,1673537.23976951,1412960.2186968569
2015-07-06,2247288.7860644544,1722038.9495172254,1415794.7315145817
2015-07-07,2263034.362773245,1691659.704217955,1388972.0603754479
2015-07-08,2206523.1903085574,1577550.1942307886,1344889.3979436243
2015-07-09,2247998.2670218525,1678580.3495292838,1390629.3765981148
2015-07-10,2255069.2782301037,1768559.5913832192,1432175.725860427
2015-07-13,2271956.8173728767,1813887.2858508718,1467465.4971756262
2015-07-14,2274706.2042334494,1770967.0195264416,1467736.2102744589
2015-07-15,2273358.1977553107,1708352.3544561137,1434384.6740048793
2015-07-16,2299170.7305390453,1721530.7625388706,1445317.1045090917
2015-07-17,2317129.9470429663,1787913.7632537775,1485906.3664904858
2015-07-20,2322514.4068184723,1791837.1389934479,1492825.665170404
2015-07-21,2316257.7793254056,1794162.7404198172,1498927.0203769442
2015-07-22,2300817.1583678685,1790351.338082157,1497930.5226736171
2015-07-23,2287598.1416526106,1830683.2961524248,1518322.2543047215
2015-07-24,2264392.193219092,1798585.6897992261,1498226.5772983788
2015-07-27,2268866.2694863533,1644600.7286884498,1426190.8353315513
2015-07-28,2268428.680560615,1641310.4333370687,1412245.2987388824
2015-07-29,2274743.0910799773,1692684.6915132804,1446420.139156656
2015-07-30,2278993.0008740867,1643170.9144781637,1420094.99380683
2015-07-31,2274006.07587254,1643726.4748189072,1412230.7902651308
2015-08-03,2267185.933209853,1649127.038131253,1397894.5883785074
2015-08-04,2322801.629319166,1700341.9495430656,1432785.563410863
2015-08-05,2332010.8975011255,1665345.9547455222,1420631.54530736
2015-08-06,2323518.0119788903,1650251.078820665,1411428.4392402333
2015-08-07,2401297.0513550285,1682589.8586551168,1433581.153051334
2015-08-10,2520077.270291117,1758998.7855192586,1478279.5739153663
2015-08-11,2535741.291924939,1751380.2875132465,1477581.0995464188
2015-08-12,2502409.667019976,1729614.3808301568,1468574.9463432303
2015-08-13,2570012.611551995,1755165.8498350577,1484563.803270621
2015-08-14,2592310.2688644845,1754338.9693279043,1485779.9387741298
2015-08-17,2644771.1523204707,1756203.7571383074,1494193.6575942608
2015-08-18,2451247.1629519556,1647477.583786254,1434359.0614254067
2015-08-19,2509622.2409571433,1673631.9864942878,1449858.4266460368
2015-08-20,2422847.65057029,1619932.1268917073,1417718.1383915702
2015-08-21,2406983.263325534,1545896.1748163234,1366055.3858635
2015-08-24,2355017.269377336,1410662.4518729732,1285297.8897178369
2015-08-25,2332665.920111203,1310489.3237667875,1224789.0143496334
2015-08-26,2368834.134675434,1303064.6258796398,1219792.7898703658
2015-08-27,2383998.7988038007,1380563.1400787283,1261678.9987790452
2015-08-28,2390371.288932866,1439413.7761737853,1301100.5047537491
2015-08-31,2383415.483506516,1449857.4492459048,1286923.5121571212
2015-09-01,2355811.4088614048,1447936.6747344963,1257152.2376583894
