date,open,high,low,close,volume,amount
2020-08-27,3485.1399,3501.3799,3468.3501,3484.55,2317902466,8077550000000
2020-08-28,3494.6899,3509.23,3484.3201,3508.01,2044015618,7152140000000
2020-08-31,3509.73,3514.77,3493.25,3500.3101,2543021541,8912060000000
2020-09-01,3507.4399,3528.03,3494.6001,3526.6499,2245334277,7890510000000
2020-09-02,3543.76,3588.1101,3535.23,3580.8401,2581524590,9195350000000
2020-09-03,3564.74,3564.8501,3427.4099,3455.0601,3193601820,11187200000000
2020-09-04,3453.6001,3479.1499,3349.6299,3426.96,3044871716,10435800000000
2020-09-08,3371.8799,3379.97,3329.27,3331.8401,3066119495,10281400000000
2020-09-09,3369.8201,3424.77,3366.8401,3398.96,2508541279,8504200000000
2020-09-10,3412.5601,3425.55,3329.25,3339.1899,2574758180,8694030000000
2020-09-11,3352.7,3368.95,3310.47,3340.97,2352258971,7864240000000
2020-09-14,3363.5601,3402.9299,3363.5601,3383.54,2363165480,7983710000000
2020-09-15,3407.73,3419.48,3389.25,3401.2,2482004565,8449770000000
2020-09-16,3411.23,3428.9199,3384.45,3385.49,2843660468,9675620000000
2020-09-17,3346.8601,3375.1699,3328.8201,3357.01,2740864793,9187280000000
2020-09-18,3357.3799,3362.27,3292.3999,3319.47,4087680041,13623700000000
2020-09-21,3285.5701,3285.5701,3229.1001,3281.0601,2973366814,9723880000000
2020-09-22,3295.75,3320.3101,3270.95,3315.5701,2364817767,7805420000000
2020-09-23,3320.1101,3323.3501,3232.5701,3236.9199,2462124190,8071430000000
2020-09-24,3226.1399,3278.7,3209.45,3246.5901,2386884281,7734030000000
2020-09-25,3236.6599,3306.8799,3228.4399,3298.46,2180313684,7124410000000
2020-09-28,3333.8999,3360.74,3332.9099,3351.6001,2221021352,7428840000000
2020-09-29,3350.9199,3357.9199,3327.54,3335.47,1945022669,6502140000000
2020-09-30,3341.21,3393.5601,3340.47,3363.0,2616747156,8791120000000
2020-10-01,3385.8701,3397.1799,3361.3899,3380.8,2355862321,7965900000000
2020-10-02,3338.9399,3369.1001,3323.6899,3348.4399,2350090813,7861150000000
2020-10-05,3367.27,3409.5701,3367.27,3408.6299,2040147536,6912400000000
2020-10-06,3408.74,3431.5601,3354.54,3360.95,2549972990,8641720000000
2020-10-07,3384.5601,3426.26,3384.5601,3419.45,2074262423,7060180000000
2020-10-08,3434.28,3447.28,3428.1499,3446.8301,2088859740,7183870000000
2020-10-09,3459.6699,3482.3401,3458.0701,3477.1299,2227950074,7729430000000
2020-10-12,3500.02,3549.8501,3499.6101,3534.22,2243800302,7900250000000
2020-10-13,3534.01,3534.01,3500.8601,3511.9299,2357875709,8300200000000
2020-10-14,3515.47,3527.9399,3480.55,3488.6699,2183733760,7649960000000
2020-10-15,3453.72,3489.0801,3440.8899,3483.3401,2009665085,6967020000000
2020-10-16,3493.5,3515.76,3480.45,3483.8101,2221194565,7759480000000
