date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2018-03-06,6077.37,6145.58,6145.85,6070.72,83495767,99900153856.0,1.24,1.34,81.48,0.75
2018-03-07,6133.95,6086.49,6149.1,6082.58,74594130,84935053312.0,1.08,-0.96,-59.09,0.67
2018-03-08,6073.67,6131.51,6131.7,6073.67,67889912,76733022208.0,0.95,0.74,45.02,0.61
2018-03-09,6131.12,6206.98,6211.28,6131.01,85928340,98413232128.0,1.31,1.23,75.47,0.77
2018-03-12,6230.81,6295.78,6295.78,6230.39,97662277,117237501952.0,1.05,1.43,88.8,0.87
2018-03-13,6285.8,6254.15,6297.43,6251.4,84804759,97523499008.0,0.73,-0.66,-41.63,0.76
2018-03-14,6234.24,6189.32,6253.17,6185.18,75466634,87185223680.0,1.09,-1.04,-64.83,0.67
2018-03-15,6172.85,6180.11,6203.24,6117.6,72173921,82975055872.0,1.38,-0.15,-9.21,0.65
2018-03-16,6181.38,6146.31,6205.87,6146.31,65073533,75643387904.0,0.96,-0.55,-33.8,0.58
2018-03-19,6142.52,6153.83,6186.61,6118.3,67233213,78681890816.0,1.11,0.12,7.52,0.6
2018-03-20,6109.61,6173.7,6176.5,6091.5,67475663,78423732224.0,1.38,0.32,19.87,0.6
2018-03-21,6182.11,6129.2,6224.56,6125.14,79487160,92526116864.0,1.61,-0.72,-44.5,0.71
2018-03-22,6130.05,6101.23,6161.37,6074.66,67407442,78135865344.0,1.41,-0.46,-27.97,0.6
2018-03-23,5913.37,5787.15,5978.42,5722.77,121367060,121045069824.0,4.19,-5.15,-314.08,1.08
2018-03-26,5715.35,5902.96,5902.96,5675.37,84772913,91809710080.0,3.93,2.0,115.81,0.76
2018-03-27,5956.24,6034.78,6043.05,5956.24,89199270,106538868736.0,1.47,2.23,131.82,0.8
2018-03-28,5962.56,5973.34,6036.16,5949.1,75299095,90975268864.0,1.44,-1.02,-61.44,0.67
2018-03-29,5993.97,6034.86,6040.86,5967.63,68813734,82742505472.0,1.23,1.03,61.52,0.62
2018-03-30,6052.18,6114.74,6115.27,6051.02,73046490,94445330432.0,1.06,1.32,79.88,0.65
2018-04-02,6127.23,6121.96,6169.3,6113.34,85433833,109910556672.0,0.92,0.12,7.22,0.76
2018-04-03,6039.07,6059.71,6066.44,6008.51,71749883,87808372736.0,0.95,-1.02,-62.25,0.64
2018-04-04,6077.65,6017.69,6098.84,6011.15,67260198,83134529536.0,1.45,-0.69,-42.02,0.6
2018-04-09,5994.35,6025.65,6053.97,5954.54,64851820,79255887872.0,1.65,0.13,7.96,0.58
2018-04-10,6032.49,6063.74,6064.39,5993.0,69420989,81611902976.0,1.18,0.63,38.09,0.62
2018-04-11,6082.03,6086.61,6110.18,6073.22,66248860,81079828480.0,0.61,0.38,22.87,0.59
2018-04-12,6073.77,6051.33,6091.98,6039.56,60524239,72705101824.0,0.86,-0.58,-35.28,0.54
2018-04-13,6073.84,6027.19,6093.35,6018.01,54157637,66885602048.0,1.25,-0.4,-24.14,0.48
2018-04-16,6018.17,6012.41,6053.99,5966.2,70985861,87151673344.0,1.46,-0.25,-14.78,0.63
2018-04-17,6024.55,5890.86,6038.25,5886.02,71920259,88004231168.0,2.53,-2.02,-121.55,0.64
2018-04-18,5925.84,5970.66,5981.34,5826.65,76201713,98199216128.0,2.63,1.35,79.8,0.68
2018-04-19,5965.24,6004.73,6041.99,5962.71,75998556,99648954368.0,1.33,0.57,34.07,0.68
